1,2,3,4,5,6,7,8,9,10
AVPEPUDEAC0021,AVPEPUDEAC0019,AVPEPUDEAC0020,AVPEPUDEAC0020,AVPEPUDEAC0020,AVPEPUDEAC0019,AVPEPUDEAC0021,AVPEPUDEAC0020,AVPEPUDEAC0019,AVPEPUDEAC0018
AVPEPUDEA0021,AVPEPUDEA0022,AVPEPUDEA0017,AVPEPUDEA0020,AVPEPUDEA0021,AVPEPUDEA0021,AVPEPUDEA0017,AVPEPUDEA0021,AVPEPUDEA0021,AVPEPUDEA0021
AVPEPUDEA0046,AVPEPUDEA0047,AVPEPUDEA0046,AVPEPUDEA0046,AVPEPUDEA0047,AVPEPUDEA0048,AVPEPUDEA0047,AVPEPUDEA0046,AVPEPUDEA0048,AVPEPUDEA0046
AVPEPUDEA0039,AVPEPUDEA0041,AVPEPUDEA0038,AVPEPUDEA0038,AVPEPUDEA0041,AVPEPUDEA0039,AVPEPUDEA0038,AVPEPUDEA0039,AVPEPUDEA0042,AVPEPUDEA0039
AVPEPUDEAC0028,AVPEPUDEAC0027,AVPEPUDEAC0027,AVPEPUDEAC0027,AVPEPUDEAC0030,AVPEPUDEAC0026,AVPEPUDEAC0029,AVPEPUDEAC0027,AVPEPUDEAC0027,AVPEPUDEAC0028
AVPEPUDEA0026,AVPEPUDEA0027,AVPEPUDEA0025,AVPEPUDEA0026,AVPEPUDEA0027,AVPEPUDEA0026,AVPEPUDEA0024,AVPEPUDEA0027,AVPEPUDEA0026,AVPEPUDEA0027
AVPEPUDEAC0047,AVPEPUDEAC0048,AVPEPUDEAC0047,AVPEPUDEAC0048,AVPEPUDEAC0048,AVPEPUDEAC0045,AVPEPUDEAC0048,AVPEPUDEAC0047,AVPEPUDEAC0046,AVPEPUDEAC0048
AVPEPUDEA0041,AVPEPUDEA0042,AVPEPUDEA0041,AVPEPUDEA0039,AVPEPUDEA0042,AVPEPUDEA0041,AVPEPUDEA0039,AVPEPUDEA0041,AVPEPUDEA0043,AVPEPUDEA0041
AVPEPUDEAC0031,AVPEPUDEAC0030,AVPEPUDEAC0031,AVPEPUDEAC0031,AVPEPUDEAC0034,AVPEPUDEAC0029,AVPEPUDEAC0033,AVPEPUDEAC0030,AVPEPUDEAC0030,AVPEPUDEAC0031
AVPEPUDEAC0051,AVPEPUDEAC0052,AVPEPUDEAC0052,AVPEPUDEAC0052,AVPEPUDEAC0052,AVPEPUDEAC0050,AVPEPUDEAC0052,AVPEPUDEAC0052,AVPEPUDEAC0050,AVPEPUDEAC0052
AVPEPUDEA0047,AVPEPUDEA0048,AVPEPUDEA0047,AVPEPUDEA0047,AVPEPUDEA0048,AVPEPUDEA0049,AVPEPUDEA0049,AVPEPUDEA0047,AVPEPUDEA0049,AVPEPUDEA0048
AVPEPUDEA0056,AVPEPUDEA0055,AVPEPUDEA0056,AVPEPUDEA0055,AVPEPUDEA0055,AVPEPUDEA0056,AVPEPUDEA0056,AVPEPUDEA0055,AVPEPUDEA0056,AVPEPUDEA0056
AVPEPUDEA0029,AVPEPUDEA0029,AVPEPUDEA0027,AVPEPUDEA0027,AVPEPUDEA0029,AVPEPUDEA0027,AVPEPUDEA0025,AVPEPUDEA0029,AVPEPUDEA0027,AVPEPUDEA0029
AVPEPUDEAC0019,AVPEPUDEAC0017,AVPEPUDEAC0018,AVPEPUDEAC0018,AVPEPUDEAC0017,AVPEPUDEAC0016,AVPEPUDEAC0018,AVPEPUDEAC0018,AVPEPUDEAC0017,AVPEPUDEAC0016
AVPEPUDEA0052,AVPEPUDEA0052,AVPEPUDEA0052,AVPEPUDEA0051,AVPEPUDEA0052,AVPEPUDEA0053,AVPEPUDEA0053,AVPEPUDEA0051,AVPEPUDEA0053,AVPEPUDEA0053
AVPEPUDEAC0004,AVPEPUDEAC0003,AVPEPUDEAC0003,AVPEPUDEAC0004,AVPEPUDEAC0003,AVPEPUDEAC0003,AVPEPUDEAC0003,AVPEPUDEAC0003,AVPEPUDEAC0003,AVPEPUDEAC0003
AVPEPUDEA0048,AVPEPUDEA0049,AVPEPUDEA0048,AVPEPUDEA0048,AVPEPUDEA0049,AVPEPUDEA0050,AVPEPUDEA0050,AVPEPUDEA0048,AVPEPUDEA0050,AVPEPUDEA0049
AVPEPUDEAC0050,AVPEPUDEAC0051,AVPEPUDEAC0051,AVPEPUDEAC0051,AVPEPUDEAC0051,AVPEPUDEAC0048,AVPEPUDEAC0051,AVPEPUDEAC0051,AVPEPUDEAC0049,AVPEPUDEAC0051
AVPEPUDEA0022,AVPEPUDEA0023,AVPEPUDEA0020,AVPEPUDEA0022,AVPEPUDEA0022,AVPEPUDEA0022,AVPEPUDEA0020,AVPEPUDEA0023,AVPEPUDEA0022,AVPEPUDEA0022
AVPEPUDEAC0039,AVPEPUDEAC0040,AVPEPUDEAC0039,AVPEPUDEAC0040,AVPEPUDEAC0041,AVPEPUDEAC0035,AVPEPUDEAC0040,AVPEPUDEAC0039,AVPEPUDEAC0037,AVPEPUDEAC0040
AVPEPUDEA0016,AVPEPUDEA0017,AVPEPUDEA0014,AVPEPUDEA0014,AVPEPUDEA0015,AVPEPUDEA0016,AVPEPUDEA0014,AVPEPUDEA0016,AVPEPUDEA0016,AVPEPUDEA0016
AVPEPUDEAC0057,AVPEPUDEAC0057,AVPEPUDEAC0057,AVPEPUDEAC0057,AVPEPUDEAC0057,AVPEPUDEAC0057,AVPEPUDEAC0057,AVPEPUDEAC0057,AVPEPUDEAC0054,AVPEPUDEAC0057
AVPEPUDEAC0022,AVPEPUDEAC0020,AVPEPUDEAC0021,AVPEPUDEAC0021,AVPEPUDEAC0021,AVPEPUDEAC0020,AVPEPUDEAC0023,AVPEPUDEAC0021,AVPEPUDEAC0020,AVPEPUDEAC0019
AVPEPUDEAC0053,AVPEPUDEAC0054,AVPEPUDEAC0054,AVPEPUDEAC0054,AVPEPUDEAC0054,AVPEPUDEAC0054,AVPEPUDEAC0054,AVPEPUDEAC0054,AVPEPUDEAC0053,AVPEPUDEAC0054
AVPEPUDEA0058,AVPEPUDEA0058,AVPEPUDEA0058,AVPEPUDEA0057,AVPEPUDEA0058,AVPEPUDEA0058,AVPEPUDEA0058,AVPEPUDEA0057,AVPEPUDEA0058,AVPEPUDEA0058
AVPEPUDEAC0014,AVPEPUDEAC0013,AVPEPUDEAC0013,AVPEPUDEAC0014,AVPEPUDEAC0013,AVPEPUDEAC0012,AVPEPUDEAC0014,AVPEPUDEAC0014,AVPEPUDEAC0012,AVPEPUDEAC0012
AVPEPUDEAC0041,AVPEPUDEAC0042,AVPEPUDEAC0042,AVPEPUDEAC0042,AVPEPUDEAC0043,AVPEPUDEAC0040,AVPEPUDEAC0043,AVPEPUDEAC0041,AVPEPUDEAC0040,AVPEPUDEAC0042
AVPEPUDEA0035,AVPEPUDEA0037,AVPEPUDEA0034,AVPEPUDEA0034,AVPEPUDEA0035,AVPEPUDEA0034,AVPEPUDEA0031,AVPEPUDEA0035,AVPEPUDEA0037,AVPEPUDEA0035
AVPEPUDEAC0006,AVPEPUDEAC0005,AVPEPUDEAC0005,AVPEPUDEAC0007,AVPEPUDEAC0005,AVPEPUDEAC0005,AVPEPUDEAC0006,AVPEPUDEAC0005,AVPEPUDEAC0005,AVPEPUDEAC0005
AVPEPUDEAC0046,AVPEPUDEAC0047,AVPEPUDEAC0046,AVPEPUDEAC0046,AVPEPUDEAC0047,AVPEPUDEAC0044,AVPEPUDEAC0047,AVPEPUDEAC0046,AVPEPUDEAC0045,AVPEPUDEAC0047
AVPEPUDEAC0027,AVPEPUDEAC0026,AVPEPUDEAC0026,AVPEPUDEAC0026,AVPEPUDEAC0029,AVPEPUDEAC0025,AVPEPUDEAC0028,AVPEPUDEAC0026,AVPEPUDEAC0026,AVPEPUDEAC0027
AVPEPUDEA0038,AVPEPUDEA0039,AVPEPUDEA0037,AVPEPUDEA0037,AVPEPUDEA0039,AVPEPUDEA0038,AVPEPUDEA0037,AVPEPUDEA0038,AVPEPUDEA0041,AVPEPUDEA0038
AVPEPUDEA0042,AVPEPUDEA0043,AVPEPUDEA0042,AVPEPUDEA0041,AVPEPUDEA0043,AVPEPUDEA0042,AVPEPUDEA0043,AVPEPUDEA0042,AVPEPUDEA0045,AVPEPUDEA0042
AVPEPUDEA0010,AVPEPUDEA0010,AVPEPUDEA0008,AVPEPUDEA0008,AVPEPUDEA0008,AVPEPUDEA0009,AVPEPUDEA0008,AVPEPUDEA0009,AVPEPUDEA0008,AVPEPUDEA0009
AVPEPUDEA0015,AVPEPUDEA0015,AVPEPUDEA0013,AVPEPUDEA0013,AVPEPUDEA0014,AVPEPUDEA0015,AVPEPUDEA0013,AVPEPUDEA0014,AVPEPUDEA0015,AVPEPUDEA0015
AVPEPUDEAC0037,AVPEPUDEAC0039,AVPEPUDEAC0037,AVPEPUDEAC0039,AVPEPUDEAC0040,AVPEPUDEAC0034,AVPEPUDEAC0039,AVPEPUDEAC0037,AVPEPUDEAC0035,AVPEPUDEAC0039
AVPEPUDEA0011,AVPEPUDEA0011,AVPEPUDEA0009,AVPEPUDEA0009,AVPEPUDEA0009,AVPEPUDEA0011,AVPEPUDEA0009,AVPEPUDEA0010,AVPEPUDEA0010,AVPEPUDEA0010
AVPEPUDEA0037,AVPEPUDEA0038,AVPEPUDEA0035,AVPEPUDEA0035,AVPEPUDEA0038,AVPEPUDEA0037,AVPEPUDEA0035,AVPEPUDEA0037,AVPEPUDEA0039,AVPEPUDEA0037
AVPEPUDEAC0033,AVPEPUDEAC0034,AVPEPUDEAC0033,AVPEPUDEAC0033,AVPEPUDEAC0035,AVPEPUDEAC0030,AVPEPUDEAC0034,AVPEPUDEAC0031,AVPEPUDEAC0031,AVPEPUDEAC0033
AVPEPUDEAC0025,AVPEPUDEAC0024,AVPEPUDEAC0024,AVPEPUDEAC0024,AVPEPUDEAC0024,AVPEPUDEAC0023,AVPEPUDEAC0026,AVPEPUDEAC0024,AVPEPUDEAC0023,AVPEPUDEAC0025
AVPEPUDEA0045,AVPEPUDEA0046,AVPEPUDEA0045,AVPEPUDEA0043,AVPEPUDEA0046,AVPEPUDEA0047,AVPEPUDEA0046,AVPEPUDEA0045,AVPEPUDEA0047,AVPEPUDEA0045
AVPEPUDEA0050,AVPEPUDEA0050,AVPEPUDEA0049,AVPEPUDEA0049,AVPEPUDEA0050,AVPEPUDEA0051,AVPEPUDEA0051,AVPEPUDEA0049,AVPEPUDEA0051,AVPEPUDEA0051
AVPEPUDEA0023,AVPEPUDEA0024,AVPEPUDEA0021,AVPEPUDEA0023,AVPEPUDEA0023,AVPEPUDEA0023,AVPEPUDEA0021,AVPEPUDEA0024,AVPEPUDEA0023,AVPEPUDEA0023
AVPEPUDEA0008,AVPEPUDEA0007,AVPEPUDEA0006,AVPEPUDEA0006,AVPEPUDEA0006,AVPEPUDEA0007,AVPEPUDEA0006,AVPEPUDEA0006,AVPEPUDEA0006,AVPEPUDEA0007
AVPEPUDEAC0008,AVPEPUDEAC0008,AVPEPUDEAC0007,AVPEPUDEAC0010,AVPEPUDEAC0007,AVPEPUDEAC0007,AVPEPUDEAC0008,AVPEPUDEAC0008,AVPEPUDEAC0007,AVPEPUDEAC0007
AVPEPUDEAC0040,AVPEPUDEAC0041,AVPEPUDEAC0041,AVPEPUDEAC0041,AVPEPUDEAC0042,AVPEPUDEAC0037,AVPEPUDEAC0041,AVPEPUDEAC0040,AVPEPUDEAC0039,AVPEPUDEAC0041
AVPEPUDEAC0048,AVPEPUDEAC0049,AVPEPUDEAC0049,AVPEPUDEAC0049,AVPEPUDEAC0049,AVPEPUDEAC0046,AVPEPUDEAC0049,AVPEPUDEAC0048,AVPEPUDEAC0047,AVPEPUDEAC0049
AVPEPUDEA0031,AVPEPUDEA0032,AVPEPUDEA0030,AVPEPUDEA0030,AVPEPUDEA0031,AVPEPUDEA0030,AVPEPUDEA0027,AVPEPUDEA0031,AVPEPUDEA0032,AVPEPUDEA0031
AVPEPUDEA0009,AVPEPUDEA0009,AVPEPUDEA0007,AVPEPUDEA0007,AVPEPUDEA0007,AVPEPUDEA0008,AVPEPUDEA0007,AVPEPUDEA0008,AVPEPUDEA0007,AVPEPUDEA0008
AVPEPUDEAC0016,AVPEPUDEAC0014,AVPEPUDEAC0014,AVPEPUDEAC0015,AVPEPUDEAC0014,AVPEPUDEAC0013,AVPEPUDEAC0015,AVPEPUDEAC0015,AVPEPUDEAC0013,AVPEPUDEAC0013
AVPEPUDEAC0001,AVPEPUDEAC0001,AVPEPUDEAC0001,AVPEPUDEAC0003,AVPEPUDEAC0001,AVPEPUDEAC0001,AVPEPUDEAC0001,AVPEPUDEAC0001,AVPEPUDEAC0001,AVPEPUDEAC0001
AVPEPUDEAC0034,AVPEPUDEAC0035,AVPEPUDEAC0034,AVPEPUDEAC0034,AVPEPUDEAC0037,AVPEPUDEAC0031,AVPEPUDEAC0035,AVPEPUDEAC0033,AVPEPUDEAC0033,AVPEPUDEAC0034
AVPEPUDEA0025,AVPEPUDEA0026,AVPEPUDEA0024,AVPEPUDEA0025,AVPEPUDEA0026,AVPEPUDEA0025,AVPEPUDEA0023,AVPEPUDEA0026,AVPEPUDEA0025,AVPEPUDEA0026
AVPEPUDEA0030,AVPEPUDEA0030,AVPEPUDEA0029,AVPEPUDEA0029,AVPEPUDEA0030,AVPEPUDEA0029,AVPEPUDEA0026,AVPEPUDEA0030,AVPEPUDEA0031,AVPEPUDEA0030
AVPEPUDEAC0043,AVPEPUDEAC0044,AVPEPUDEAC0044,AVPEPUDEAC0044,AVPEPUDEAC0045,AVPEPUDEAC0042,AVPEPUDEAC0045,AVPEPUDEAC0044,AVPEPUDEAC0043,AVPEPUDEAC0044
AVPEPUDEAC0030,AVPEPUDEAC0029,AVPEPUDEAC0030,AVPEPUDEAC0029,AVPEPUDEAC0033,AVPEPUDEAC0028,AVPEPUDEAC0031,AVPEPUDEAC0029,AVPEPUDEAC0029,AVPEPUDEAC0030
AVPEPUDEA0043,AVPEPUDEA0045,AVPEPUDEA0043,AVPEPUDEA0042,AVPEPUDEA0045,AVPEPUDEA0045,AVPEPUDEA0045,AVPEPUDEA0043,AVPEPUDEA0046,AVPEPUDEA0043
AVPEPUDEA0057,AVPEPUDEA0056,AVPEPUDEA0057,AVPEPUDEA0056,AVPEPUDEA0057,AVPEPUDEA0057,AVPEPUDEA0057,AVPEPUDEA0056,AVPEPUDEA0057,AVPEPUDEA0057
AVPEPUDEAC0007,AVPEPUDEAC0007,AVPEPUDEAC0006,AVPEPUDEAC0008,AVPEPUDEAC0006,AVPEPUDEAC0006,AVPEPUDEAC0007,AVPEPUDEAC0006,AVPEPUDEAC0006,AVPEPUDEAC0006
AVPEPUDEAC0017,AVPEPUDEAC0015,AVPEPUDEAC0015,AVPEPUDEAC0016,AVPEPUDEAC0015,AVPEPUDEAC0014,AVPEPUDEAC0016,AVPEPUDEAC0016,AVPEPUDEAC0015,AVPEPUDEAC0014
AVPEPUDEA0005,AVPEPUDEA0003,AVPEPUDEA0002,AVPEPUDEA0002,AVPEPUDEA0002,AVPEPUDEA0002,AVPEPUDEA0002,AVPEPUDEA0002,AVPEPUDEA0002,AVPEPUDEA0002
AVPEPUDEA0032,AVPEPUDEA0034,AVPEPUDEA0031,AVPEPUDEA0031,AVPEPUDEA0032,AVPEPUDEA0031,AVPEPUDEA0029,AVPEPUDEA0032,AVPEPUDEA0034,AVPEPUDEA0032
AVPEPUDEAC0024,AVPEPUDEAC0022,AVPEPUDEAC0023,AVPEPUDEAC0023,AVPEPUDEAC0023,AVPEPUDEAC0022,AVPEPUDEAC0025,AVPEPUDEAC0023,AVPEPUDEAC0022,AVPEPUDEAC0023
AVPEPUDEA0002,AVPEPUDEA0001,AVPEPUDEA0001,AVPEPUDEA0001,AVPEPUDEA0001,AVPEPUDEA0001,AVPEPUDEA0001,AVPEPUDEA0001,AVPEPUDEA0001,AVPEPUDEA0001
AVPEPUDEAC0045,AVPEPUDEAC0045,AVPEPUDEAC0045,AVPEPUDEAC0045,AVPEPUDEAC0046,AVPEPUDEAC0043,AVPEPUDEAC0046,AVPEPUDEAC0045,AVPEPUDEAC0044,AVPEPUDEAC0046
AVPEPUDEAC0005,AVPEPUDEAC0004,AVPEPUDEAC0004,AVPEPUDEAC0006,AVPEPUDEAC0004,AVPEPUDEAC0004,AVPEPUDEAC0005,AVPEPUDEAC0004,AVPEPUDEAC0004,AVPEPUDEAC0004
AVPEPUDEA0053,AVPEPUDEA0053,AVPEPUDEA0053,AVPEPUDEA0053,AVPEPUDEA0053,AVPEPUDEA0054,AVPEPUDEA0054,AVPEPUDEA0052,AVPEPUDEA0054,AVPEPUDEA0054
AVPEPUDEAC0029,AVPEPUDEAC0028,AVPEPUDEAC0028,AVPEPUDEAC0028,AVPEPUDEAC0031,AVPEPUDEAC0027,AVPEPUDEAC0030,AVPEPUDEAC0028,AVPEPUDEAC0028,AVPEPUDEAC0029
AVPEPUDEA0059,AVPEPUDEA0059,AVPEPUDEA0059,AVPEPUDEA0059,AVPEPUDEA0059,AVPEPUDEA0059,AVPEPUDEA0059,AVPEPUDEA0058,AVPEPUDEA0059,AVPEPUDEA0059
AVPEPUDEAC0010,AVPEPUDEAC0010,AVPEPUDEAC0008,AVPEPUDEAC0011,AVPEPUDEAC0010,AVPEPUDEAC0008,AVPEPUDEAC0010,AVPEPUDEAC0011,AVPEPUDEAC0008,AVPEPUDEAC0008
AVPEPUDEA0055,AVPEPUDEA0054,AVPEPUDEA0054,AVPEPUDEA0054,AVPEPUDEA0054,AVPEPUDEA0055,AVPEPUDEA0055,AVPEPUDEA0054,AVPEPUDEA0055,AVPEPUDEA0055
AVPEPUDEAC0018,AVPEPUDEAC0016,AVPEPUDEAC0017,AVPEPUDEAC0017,AVPEPUDEAC0016,AVPEPUDEAC0015,AVPEPUDEAC0017,AVPEPUDEAC0017,AVPEPUDEAC0016,AVPEPUDEAC0015
AVPEPUDEAC0049,AVPEPUDEAC0050,AVPEPUDEAC0050,AVPEPUDEAC0050,AVPEPUDEAC0050,AVPEPUDEAC0047,AVPEPUDEAC0050,AVPEPUDEAC0049,AVPEPUDEAC0048,AVPEPUDEAC0050
AVPEPUDEAC0012,AVPEPUDEAC0012,AVPEPUDEAC0011,AVPEPUDEAC0013,AVPEPUDEAC0012,AVPEPUDEAC0011,AVPEPUDEAC0013,AVPEPUDEAC0013,AVPEPUDEAC0011,AVPEPUDEAC0011
AVPEPUDEA0024,AVPEPUDEA0025,AVPEPUDEA0022,AVPEPUDEA0024,AVPEPUDEA0024,AVPEPUDEA0024,AVPEPUDEA0022,AVPEPUDEA0025,AVPEPUDEA0024,AVPEPUDEA0025
AVPEPUDEA0014,AVPEPUDEA0014,AVPEPUDEA0011,AVPEPUDEA0011,AVPEPUDEA0013,AVPEPUDEA0014,AVPEPUDEA0011,AVPEPUDEA0013,AVPEPUDEA0014,AVPEPUDEA0013
AVPEPUDEA0017,AVPEPUDEA0020,AVPEPUDEA0015,AVPEPUDEA0015,AVPEPUDEA0016,AVPEPUDEA0017,AVPEPUDEA0015,AVPEPUDEA0017,AVPEPUDEA0017,AVPEPUDEA0017
AVPEPUDEAC0023,AVPEPUDEAC0021,AVPEPUDEAC0022,AVPEPUDEAC0022,AVPEPUDEAC0022,AVPEPUDEAC0021,AVPEPUDEAC0024,AVPEPUDEAC0022,AVPEPUDEAC0021,AVPEPUDEAC0022
AVPEPUDEAC0042,AVPEPUDEAC0043,AVPEPUDEAC0043,AVPEPUDEAC0043,AVPEPUDEAC0044,AVPEPUDEAC0041,AVPEPUDEAC0044,AVPEPUDEAC0042,AVPEPUDEAC0042,AVPEPUDEAC0043
AVPEPUDEA0006,AVPEPUDEA0005,AVPEPUDEA0003,AVPEPUDEA0003,AVPEPUDEA0003,AVPEPUDEA0003,AVPEPUDEA0003,AVPEPUDEA0003,AVPEPUDEA0003,AVPEPUDEA0003
AVPEPUDEA0051,AVPEPUDEA0051,AVPEPUDEA0050,AVPEPUDEA0050,AVPEPUDEA0051,AVPEPUDEA0052,AVPEPUDEA0052,AVPEPUDEA0050,AVPEPUDEA0052,AVPEPUDEA0052
